Lisa,28/10/2022,6/11/2022
Daniel,28/10/2022,5/11/2022
William,29/10/2022,7/11/2022
Betsy,4/11/2022,13/11/2022
David,3/11/2022,12/11/2022
John,5/11/2022,14/11/2022
Cornelius,2/11/2022,11/11/2022
Jamie,3/11/2022,12/11/2022
Mary,4/11/2022,13/11/2022
Jose,3/11/2022,12/11/2022
Dorothy,5/11/2022,14/11/2022
Raymond,5/11/2022,14/11/2022
Tracey,5/11/2022,14/11/2022
Erich,7/11/2022,16/11/2022
Maureen,5/11/2022,14/11/2022
Jessica,9/11/2022,17/11/2022
Kathleen,8/11/2022,16/11/2022
Wanda,6/11/2022,15/11/2022
Lamont,7/11/2022,16/11/2022
Russell,9/11/2022,18/11/2022
Jim,10/11/2022,19/11/2022
Mildred,5/11/2022,14/11/2022
Micah,5/11/2022,14/11/2022
Jeff,5/11/2022,14/11/2022
Nicole,5/11/2022,14/11/2022
Ian,7/11/2022,16/11/2022
Troy,6/11/2022,15/11/2022
Janel,4/11/2022,13/11/2022
Bessie,9/11/2022,18/11/2022
Hector,8/11/2022,17/11/2022
Moira,10/11/2022,19/11/2022
Wayne,4/11/2022,13/11/2022
Sarah,2/11/2022,11/11/2022
James,4/11/2022,13/11/2022
Steven,4/11/2022,13/11/2022
Josephine,,
Karen,,
Nicholas,,
Jennifer,,
Roberta,,
